year,designer,cluster,file_name
2006,De Fursac,26,2006~De Fursac~24302458796764dd02163e377050283b39927a069887a998f8650f18f06e4d83.jpg
2011,Dolce & Gabbana ,26,2011~Dolce & Gabbana ~42e9f2c6aa8a5dd9e52dc55ac5ee684f597040a6c19d48d86cf1d013e225ea2c.jpg
2008,Louis Vuitton,26,2008~Louis Vuitton~6436f46d17923177a48a4d421c876926ea91901cac34c3ffa0cfcbd88b1e1102.jpg
2010,Neil Barrett,26,2010~Neil Barrett~7c3f48132ca649ac4ec690923b12e35ccdfee388bf48a31746a6ca62896013e0.jpg
2011,Angel Schlesser,26,2011~Angel Schlesser~86b9e50f930ba0a35772ec07fa96d4b0b4e4f78e1c1aa4c88229baf8bf0ec9c2.jpg
2013,Mugler,26,2013~Mugler~c1fd86cf0ffd4e18d56f714907735b08ac2fd510dceed4c30e7ec490b876ba39.jpg
2013,John Varvatos,26,2013~John Varvatos~9ea83de4468eecc339521a065350c2e0a30f05cc5253d9386b37327d177d2d94.jpg
2003,Neil Barrett,26,2003~Neil Barrett~82dd25e0459a9dc348c8674098178baaa8cdedd8fc2a8ee1381e89ec47750859.jpg
2013,Hermès,26,2013~Hermès~04334ec971c2763ab36f4c8d3410a661db0b3a40e70e0e935d05444cb371c42f.jpg
2001,Giuliano Fujiwara,26,2001~Giuliano Fujiwara~d87d29f0884934a1962a654fb1ef469cb3b6eb78d994fc31d8b6cae584fda18f.jpg
2002,Carlo Pignatelli,26,2002~Carlo Pignatelli~8224fd08398e1858dbc5ffb51f59e286e73f21f0afa78965e8936cb497480fc7.jpg
2007,Burberry Prorsum,26,2007~Burberry Prorsum~cc6e9a4caf2b6815d8a8db3b4b0360debfe21cefc2d8fe53a6d42266852442d7.jpg
2003,Fake London,43,2003~Fake London~0821a65bcfb35814959d2bf3073ac514612e4542a3e031d60739c55770f5f451.jpg
2014,Damir Doma,43,2014~Damir Doma~8ac4a7ac88798fe8a926aa4cf9320b0d9a70393f6c99cd15c62244b30f568de2.jpg
2011,Lanvin ,43,2011~Lanvin ~fdcfea02ebf1fa89db9c55ae4cfadf6d86e558de82387314d6dbb0d6dd7f450f.jpg
2013,Maria Grachvogel  Womenswear Spring-Summer 2013,43,2013~Maria Grachvogel  Womenswear Spring-Summer 2013~c7e7b8445e038b31b7c5de5c7f68ee14fcbd44adbadc7d67d8542d8012e885e6.jpg
2010,Tracy Reese ,43,2010~Tracy Reese ~367863317c131df96473076eda0422d8989b101ed56b38edad740dd4dbe1aea1.jpg
2007,Kenzo,43,2007~Kenzo~bfa2406ea21088d6fa7c04d724f22e0f2336bbeb0b3c09d3d3a06fee7292eaf9.jpg
2013,Daks  Womenswear Spring-Summer 2013,43,2013~Daks  Womenswear Spring-Summer 2013~30e108a75382cee117ae75db50be040eb8f616e38db9a7e25082ecbf53ae071b.jpg
2013,Laura Biagiotti  Womenswear Spring-Summer 2013,43,2013~Laura Biagiotti  Womenswear Spring-Summer 2013~d64fa3f1ed1dbabf927e92882a8f8ad3d1311436301b948a6c3f233b56ed1d02.jpg
2010,Thuy ,43,2010~Thuy ~7853699b55e4e8ecb067c4ad5086435549b36ef3374e29fed503e0748bb10736.jpg
2011,Calvin Klein ,43,2011~Calvin Klein ~a7ed87c3bda11522baf0a07f5e02e2590f0338081b0eb43a1bb29078aaa9d937.jpg
2008,Paola Frani,43,2008~Paola Frani~d56d28588e00e0a643d0babbb357642223b44898e593e186d9bf7f5f6fb3d2d8.jpg
2008,Alexis Mabille,43,2008~Alexis Mabille~541ad348d1f6a00f72f3b7015387cca9dc67187b5b3ad0911465047214c21e41.jpg
2005,Nina Ricci,49,2005~Nina Ricci~a2d153ead1e959bceefac1b64bb414d27f8e8fbf7ba03de001ff372fd9efc9b2.jpg
2007,Emporio Armani,49,2007~Emporio Armani~cdcc9b2e04f053d4899eb0fbe28ce7afed3629388c2834bdd7ced293134a3479.jpg
2011,Todd Lynn ,49,2011~Todd Lynn ~b4d33f053e9daf92672e754e1db3eae408276acc3dc64ec0b6ec0010ed510fda.jpg
2005,Sophia Kokosalaki,49,2005~Sophia Kokosalaki~4b9a3ddbd63ee16e3a226aa93f7c4678af1fc95458937472fed30e7394d1f5cd.jpg
2010,Junya Watanabe,49,2010~Junya Watanabe~5cadf531bf83f2e9a6e2d813465e61c1090a3d4a03fec3f99ab1bc4b1089b403.jpg
2001,Marc Jacobs,49,2001~Marc Jacobs~a36eca979c77927fe88de521fd45384cea0d7a59da4220bbb91955d97e3b8e44.jpg
2005,Paul Smith,49,2005~Paul Smith~8e2715043e2e5b400763453850179424651b3a65c470627d147cbcfaea7738cf.jpg
1994,Valentino,49,1994~Valentino~ca050c34437ae8bf8bc7ea29810e1c4629308be8b408136cac8a1655b657c724.jpg
2014,Valentino,49,2014~Valentino~0f4842678023d32864d3128cc909f80f4fedc9233c29195c454f54ab3c9b6f98.jpg
2010,Burberry Prorsum,49,2010~Burberry Prorsum~cfd94be22f9bd008cd4b62600731264cfacd86960dac0ae17d1cea19d8546d93.jpg
2008,Willow,49,2008~Willow~a3c793de30833f64bbe25c87520b422144195b5f6f17ef2d2d39dd7ee5ed9071.jpg
2006,Sinha Stanic,49,2006~Sinha Stanic~d8e926beef9bcd3ab7d2d71644bc98758414a78929ce5d129d87beb8d0bef625.jpg
1997,Trussardi,50,1997~Trussardi~b5a6173690e201812d329f53881a0736c68a66285dc4e84a5351b12df459bd94.jpg
2002,Jean-Paul Knott,50,2002~Jean-Paul Knott~f335cc356aee1aa9d4d4229289c35a384252abf22d84aba1c7bc53383f380690.jpg
2006,Lanvin,50,2006~Lanvin~7ca83bc37f5e1737ff9586b5b687a1dc82f9dd0b47f56b57e29baab417010b14.jpg
2008,Chanel,50,2008~Chanel~0eeb7e4c76c84a5df84f7a5fcd71a10cf2df5404c183f66da1eebb3dd19e64ad.jpg
2008,BCBG Max Azria,50,2008~BCBG Max Azria~abc118d463b0a9d5aec3b3a877bac1a1a532795012d57fd27852fc8fb0b4a6bc.jpg
2012,Whit,50,2012~Whit~a952fac0e03d84ffa23c79a55bea086ed42e6e427c77a44bf23a3bac9434cb82.jpg
2001,Hermès,50,2001~Hermès~58c9834607594a94167301f8c766c17c5465ef15b1efc66c892180f080a9909d.jpg
2005,Ralph Lauren,50,2005~Ralph Lauren~d880004b7cfcf0cf0ee627e36edbd858d7ae5e6a1a1a76988e87f8c64a23d0c0.jpg
2010,Trias ,50,2010~Trias ~379e3ca8cebb8fbd6f941493c3c56b0e34930b5904695b0c2c4ef07f3f87ce57.jpg
2013,Rachel Comey Womenswear Spring-Summer 2013,50,2013~Rachel Comey Womenswear Spring-Summer 2013~34789282ea7c3d61d25d9ed6bc06bb89fd51983e347b05caf19abb49a2041ff5.jpg
2005,Baby Phat,50,2005~Baby Phat~afb3815b20655a7594056379e285ada7e2ec35a7700b438080c28c4a4d2120b5.jpg
2007,Rick Owens,50,2007~Rick Owens~31b2740ce56932621fe0c6a0f5108eb30f80a9f51ccd60d42a005cda849030f8.jpg
2009,Veronique Branquinho,55,2009~Veronique Branquinho~b8c1ddbf36240628f1e9eb25a8ca1531c8e614066d960efe46b32a340f87ea74.jpg
2008,Emporio Armani,55,2008~Emporio Armani~542fbaa140cc7e74933ca143a43007c26cf83550d5ea418ced997bd93eacea99.jpg
2011,Versace,55,2011~Versace~c7b7c4942cb91fd5422b70ab23810a12943f33e9979d9e0ab44c02ef63f04b12.jpg
2012,Ermenegildo Zegna,55,2012~Ermenegildo Zegna~eddc637465fc500e1217530b89098b5a65a2bed76ff045a77e893c62501a9e73.jpg
2008,Rykiel Homme,55,2008~Rykiel Homme~757ba09690aa87e6ed27bdeca74fef7c63f7c3eb418cc73a61836552f2a98784.jpg
2012,Oscar Jacobson,55,2012~Oscar Jacobson~c54c03b044d31899d38691df9404e0b38b71b829351b3501cca2241aebe8458c.jpg
2012,Gaspard Yurkievich,55,2012~Gaspard Yurkievich~64596467aa822122b7325550dfec5aa6d2754c246c835a5e1538b22e14b9d586.jpg
2007,Smalto,55,2007~Smalto~eb806c1aa31d2573d1f8f3461dc30be6bbffdee7d4caa23ad92a12c394e49189.jpg
2007,Paul Smith,55,2007~Paul Smith~59389e1efb7c88e094c284f8f50ae23f8d665299de0e162f01f05621176ab1a5.jpg
2004,Ozwald Boateng,55,2004~Ozwald Boateng~0eeba4459af4766f143df26b397ca2a1d6159cc640cfb66f705ae4631585bd54.jpg
2009,Osman Yousefzada,55,2009~Osman Yousefzada~580302d73464b26e76c34603a040528d7418254977f4bfa80d9b16324b64f1d7.jpg
2008,G Star,55,2008~G Star~3236e27342e3b93ca8c521cee3c8a88f30fd4e07335595eae355ce8ca9a13c1e.jpg
2014,Maison Rabih Kayrouz,74,2014~Maison Rabih Kayrouz~5f0d635f153d17318e46b97a7dacf2cfd1b9c3553f81494c25ecab264b4c0b8e.jpg
2013,Ashish  Womenswear Spring-Summer 2013,74,2013~Ashish  Womenswear Spring-Summer 2013~081a3f384d64501ec5d773d33228c0faf5aabf328144e32296ee6b1f300c1c63.jpg
2011,Dolce & Gabbana ,74,2011~Dolce & Gabbana ~1ae1c110a9ad8a6d9414c89723a52f942e22d79bf0786e1549ec85cb60622536.jpg
2013,Stella McCartney  Womenswear Spring-Summer 2013,74,2013~Stella McCartney  Womenswear Spring-Summer 2013~e0a18c5275ca214fb6ca927b4f05e8acbc1357c3bb5d9f7251ed8674ac569a1c.jpg
2007,Enrico Coveri,74,2007~Enrico Coveri~a073461ec1f8c96b4187dfb6d6994ff99889ace81b7958c4666088808b73d6f7.jpg
2012,Enrico Coveri ,74,2012~Enrico Coveri ~9094d6821c655ab3b64c6813e60cb9e0abb014615c8703ebb0a77d92c8b07e8a.jpg
